Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
RTDT,SOFTWARE,SaaS,B2B,"Cleantech, SaaS",2025,4.0M USD,Pre-Seed,Pre-Seed,,Switzerland,,,,,
AIPowered,FINTECH,Insurance,B2B,"AI, Fintech, SaaS",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Glioblastoma,Unknown,Drug Discovery,Unknown,Healthtech,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Shootify,AI/ML,AI/ML,B2C,"AI, Biotech",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
KYLYS,HEALTHCARE,Medical Devices,Unknown,Healthtech,2025,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
Fuels,AI/ML,AI/ML,B2B,"AI, AR/VR, Cybersecurity",2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Myriad,AI/ML,AI/ML,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Voliro,Unknown,Cloud,Unknown,Venture Capital,2025,23.0M USD,Series A,Series A,,Switzerland,,,,,
Odne,Unknown,,Unknown,"TypeScript, Venture Capital",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Composite,Unknown,Payments,Unknown,Cleantech,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Positrigo,AI/ML,Payments,B2B,Manufacturing,2025,7.0M CHF,Undisclosed,Series B,Accel,Switzerland,,,,,
Sefit,HEALTHCARE,Digital Health,Unknown,IoT,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
ZuriEV,AI/ML,AI/ML,B2B,"Healthtech, Mobility",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Inverto,CLEANTECH,Climate Tech,B2B,Cleantech,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,B2B,"AI, Manufacturing, Robotics",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIbased,AI/ML,Drug Discovery,B2B,"AI, Biotech, E-Commerce",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Versive,AI/ML,AI/ML,B2B,"Mobility, TypeScript",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Veltist,AI/ML,Medical Devices,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Eight,AI/ML,AI/ML,B2B,TypeScript,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
DNAencoded,AEROSPACE,Biotech,Unknown,"Biotech, IoT, Mobility, Robotics",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
CO2storage,SOFTWARE,Payments,B2B,"Cleantech, SaaS",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
HAYA,HEALTHCARE,Drug Discovery,Unknown,Biotech,2025,65.0M USD,Undisclosed,Growth,,Switzerland,,,,,
MetaLead,Unknown,,Unknown,,2025,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
DePoly,Unknown,Circular Economy,Unknown,,2025,23.0M USD,Funding Round,Series C,,Switzerland,,,,,
SONIX,SOFTWARE,Biotech,B2C,"Biotech, SaaS, TypeScript",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AIPowered,FINTECH,Insurance,B2B,"AI, Fintech, SaaS",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,SOFTWARE,SaaS,B2B,"AI, Logistics, Manufacturing, Mobility, Robotics, SaaS",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
JOSEPHA,AI/ML,Electric Vehicles,B2B,E-Commerce,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Sonix,AI/ML,AI/ML,B2C,,2025,1.8M CHF,Funding Round,Series A,,Switzerland,,,,,
