year_month,source,tech_keyword,industry_keyword,article_count,total_articles_that_month,keyword_pct
2024-05,TechCrunch,AgentAI,,2,171,1.2
2024-05,TechCrunch,Robotics,,9,171,5.3
2024-05,TechCrunch,Semiconductors,,10,171,5.8
2024-05,TechCrunch,PhysicalAI,,3,171,1.8
2024-05,TechCrunch,Web3,,5,171,2.9
2024-05,TechCrunch,,FinTech,5,171,2.9
2024-05,TechCrunch,,HealthTech,4,171,2.3
2024-05,TechCrunch,,DigitalHealth,2,171,1.2
2024-05,TechCrunch,LLM,,13,171,7.6
2024-05,TechCrunch,Infrastructure,,4,171,2.3
2024-05,TechCrunch,,ClimateTech,3,171,1.8
2024-05,TechCrunch,,HRTech,1,171,0.6
2024-05,TechCrunch,,DefenseTech,5,171,2.9
2024-05,TechCrunch,,BioTech,1,171,0.6
2024-05,TechCrunch,,MobilityTech,2,171,1.2
2024-05,TechCrunch,Cybersecurity,,1,171,0.6
2024-05,TechCrunch,,GameTech,1,171,0.6
2024-06,HackerNews,,DefenseTech,1,21,4.8
2024-06,HackerNews,Web3,,1,21,4.8
2024-06,TechCrunch,GenAI,,45,176,25.6
2024-06,TechCrunch,LLM,,21,176,11.9
2024-06,TechCrunch,,HealthTech,3,176,1.7
2024-06,TechCrunch,,DigitalHealth,1,176,0.6
2024-06,TechCrunch,Semiconductors,,12,176,6.8
2024-06,TechCrunch,,FinTech,6,176,3.4
2024-06,TechCrunch,,ClimateTech,3,176,1.7
2024-06,TechCrunch,Robotics,,8,176,4.5
2024-06,TechCrunch,,BioTech,1,176,0.6
2024-06,TechCrunch,Web3,,2,176,1.1
2024-06,TechCrunch,AgentAI,,4,176,2.3
2024-06,TechCrunch,Infrastructure,,3,176,1.7
2024-06,TechCrunch,,GameTech,1,176,0.6
2024-06,TechCrunch,,SpaceTech,1,176,0.6
2024-06,TechCrunch,,DefenseTech,1,176,0.6
2024-07,HackerNews,Semiconductors,,1,21,4.8
2024-07,HackerNews,GenAI,,1,21,4.8
2024-07,HackerNews,LLM,,2,21,9.5
2024-07,HackerNews,Robotics,,1,21,4.8
2024-07,HackerNews,Infrastructure,,1,21,4.8
2024-07,HackerNews,Web3,,1,21,4.8
2024-07,TechCrunch,,HealthTech,4,186,2.2
2024-07,TechCrunch,,FinTech,10,186,5.4
2024-07,TechCrunch,GenAI,,44,186,23.7
2024-07,TechCrunch,Infrastructure,,2,186,1.1
2024-07,TechCrunch,Semiconductors,,8,186,4.3
2024-07,TechCrunch,LLM,,13,186,7.0
2024-07,TechCrunch,Web3,,4,186,2.2
2024-07,TechCrunch,,BioTech,3,186,1.6
2024-07,TechCrunch,Robotics,,7,186,3.8
2024-07,TechCrunch,AgentAI,,2,186,1.1
2024-07,TechCrunch,,DefenseTech,7,186,3.8
2024-07,TechCrunch,,DigitalHealth,2,186,1.1
2024-07,TechCrunch,,ClimateTech,1,186,0.5
2024-07,TechCrunch,,SpaceTech,1,186,0.5
2024-07,TechCrunch,Cybersecurity,,2,186,1.1
2024-07,TechCrunch,,GameTech,1,186,0.5
2024-07,TechCrunch,ComputerVision,,1,186,0.5
2024-08,HackerNews,LLM,,1,17,5.9
2024-08,TechCrunch,,DigitalHealth,1,177,0.6
2024-08,TechCrunch,PhysicalAI,,2,177,1.1
2024-08,TechCrunch,,ClimateTech,5,177,2.8
2024-08,TechCrunch,GenAI,,50,177,28.2
2024-08,TechCrunch,,BioTech,3,177,1.7
2024-08,TechCrunch,Semiconductors,,7,177,4.0
2024-08,TechCrunch,LLM,,12,177,6.8
2024-08,TechCrunch,Infrastructure,,4,177,2.3
2024-08,TechCrunch,AgentAI,,4,177,2.3
2024-08,TechCrunch,ComputerVision,,1,177,0.6
2024-08,TechCrunch,Web3,,6,177,3.4
2024-08,TechCrunch,,FinTech,2,177,1.1
2024-08,TechCrunch,,DefenseTech,2,177,1.1
2024-08,TechCrunch,Robotics,,5,177,2.8
2024-08,TechCrunch,,HealthTech,4,177,2.3
2024-09,HackerNews,Semiconductors,,3,24,12.5
2024-09,HackerNews,LLM,,2,24,8.3
2024-09,HackerNews,GenAI,,2,24,8.3
2024-09,TechCrunch,AgentAI,,4,163,2.5
2024-09,TechCrunch,Robotics,,5,163,3.1
2024-09,TechCrunch,PhysicalAI,,1,163,0.6
2024-09,TechCrunch,,FinTech,6,163,3.7
2024-09,TechCrunch,Infrastructure,,2,163,1.2
2024-09,TechCrunch,,HealthTech,2,163,1.2
2024-09,TechCrunch,,ClimateTech,3,163,1.8
2024-09,TechCrunch,Web3,,1,163,0.6
2024-09,TechCrunch,GenAI,,33,163,20.2
2024-09,TechCrunch,LLM,,5,163,3.1
2024-09,TechCrunch,Semiconductors,,5,163,3.1
2024-09,TechCrunch,,DefenseTech,3,163,1.8
2024-09,TechCrunch,,PropTech,1,163,0.6
2024-09,TechCrunch,,CreatorEconomy,1,163,0.6
2024-09,TechCrunch,,Ecommerce,1,163,0.6
2024-10,HackerNews,GenAI,,3,23,13.0
2024-10,HackerNews,LLM,,3,23,13.0
2024-10,TechCrunch,GenAI,,34,174,19.5
2024-10,TechCrunch,Infrastructure,,7,174,4.0
2024-10,TechCrunch,AgentAI,,7,174,4.0
2024-10,TechCrunch,Semiconductors,,9,174,5.2
2024-10,TechCrunch,PhysicalAI,,2,174,1.1
2024-10,TechCrunch,,AgriTech,1,174,0.6
2024-10,TechCrunch,LLM,,16,174,9.2
2024-10,TechCrunch,Robotics,,10,174,5.7
2024-10,TechCrunch,,FinTech,7,174,4.0
2024-10,TechCrunch,Cybersecurity,,2,174,1.1
2024-10,TechCrunch,,SpaceTech,1,174,0.6
2024-10,TechCrunch,Web3,,5,174,2.9
2024-10,TechCrunch,,HRTech,1,174,0.6
2024-10,TechCrunch,,ClimateTech,2,174,1.1
2024-10,TechCrunch,,BioTech,3,174,1.7
2024-10,TechCrunch,,DefenseTech,1,174,0.6
2024-10,TechCrunch,,HealthTech,1,174,0.6
2024-11,HackerNews,,ClimateTech,1,22,4.5
2024-11,HackerNews,Web3,,1,22,4.5
2024-11,HackerNews,Cybersecurity,,1,22,4.5
2024-11,HackerNews,Robotics,,1,22,4.5
2024-11,HackerNews,,MobilityTech,1,22,4.5
2024-11,HackerNews,GenAI,,1,22,4.5
2024-11,TechCrunch,GenAI,,35,178,19.7
2024-11,TechCrunch,AgentAI,,4,178,2.2
2024-11,TechCrunch,,FinTech,7,178,3.9
2024-11,TechCrunch,,BioTech,3,178,1.7
2024-11,TechCrunch,QuantumTech,,1,178,0.6
2024-11,TechCrunch,LLM,,15,178,8.4
2024-11,TechCrunch,,HealthTech,4,178,2.2
2024-11,TechCrunch,PhysicalAI,,3,178,1.7
2024-11,TechCrunch,,ClimateTech,3,178,1.7
2024-11,TechCrunch,Robotics,,10,178,5.6
2024-11,TechCrunch,,MobilityTech,1,178,0.6
2024-11,TechCrunch,Semiconductors,,11,178,6.2
2024-11,TechCrunch,,DefenseTech,6,178,3.4
2024-11,TechCrunch,Web3,,2,178,1.1
2024-11,TechCrunch,,Ecommerce,2,178,1.1
2024-12,HackerNews,GenAI,,3,27,11.1
2024-12,HackerNews,LLM,,4,27,14.8
2024-12,TechCrunch,PhysicalAI,,3,245,1.2
2024-12,TechCrunch,,FinTech,3,245,1.2
2024-12,TechCrunch,Semiconductors,,12,245,4.9
2024-12,TechCrunch,,SpaceTech,1,245,0.4
2024-12,TechCrunch,,HealthTech,5,245,2.0
2024-12,TechCrunch,GenAI,,46,245,18.8
2024-12,TechCrunch,Robotics,,9,245,3.7
2024-12,TechCrunch,Infrastructure,,3,245,1.2
2024-12,TechCrunch,,CreatorEconomy,1,245,0.4
2024-12,TechCrunch,,BioTech,4,245,1.6
2024-12,TechCrunch,LLM,,12,245,4.9
2024-12,TechCrunch,,DefenseTech,4,245,1.6
2024-12,TechCrunch,,PropTech,1,245,0.4
2024-12,TechCrunch,,ClimateTech,5,245,2.0
2024-12,TechCrunch,QuantumTech,,2,245,0.8
2024-12,TechCrunch,Cybersecurity,,2,245,0.8
