Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Fleek,B2B,RETAIL,,RETAIL,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
SNAB,FINTECH,,,,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
BrainboardNew,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2022.0,,,Accelerator,Y Combinator,USA,2022.0,Seed,,,Active
Kular,B2B,SALES,,SALES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Bemlo,HEALTHCARE,HEALTHCARE IT,,HEALTHCARE IT,2022.0,,,Accelerator,Y Combinator,Sweden,2022.0,Seed,,,Active
Carbon Crusher,INDUSTRIALS,CLIMATE,,CLIMATE,2022.0,,,Accelerator,Y Combinator,Norway,2022.0,Seed,,,Active
Trackingplan,B2B,ANALYTICS,,ANALYTICS,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
SmartHelio,B2B,ANALYTICS,,ANALYTICS,2022.0,,,Accelerator,Y Combinator,Switzerland,2022.0,Seed,,,Active
Pluto.markets,FINTECH,ASSET MANAGEMENT,,ASSET MANAGEMENT,2022.0,,,Accelerator,Y Combinator,Denmark,2022.0,Seed,,,Active
Enlightra,INDUSTRIALS,,,,2022.0,,,Accelerator,Y Combinator,Switzerland,2022.0,Seed,,,Active
Lightmeter,B2B,SALES,,SALES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Phase Biolabs,INDUSTRIALS,CLIMATE,,CLIMATE,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Oto,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,,CONSUMER HEALTH AND WELLNESS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Barcelona,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
Happl,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
CUTR,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2022.0,,,Accelerator,Y Combinator,Netherlands,2022.0,Seed,,,Active
Aspora,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Seabound,INDUSTRIALS,CLIMATE,,CLIMATE,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
PeakPath,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2022.0,,,Accelerator,Y Combinator,Sweden,2022.0,Seed,,,Active
Syrona Health,HEALTHCARE,HEALTHCARE SERVICES,,HEALTHCARE SERVICES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Beau,B2B,OPERATIONS,,OPERATIONS,2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
Lightly,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Switzerland,2021.0,Seed,,,Active
Payflow,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
Café,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Luminate,HEALTHCARE,MEDICAL DEVICES,,MEDICAL DEVICES,2021.0,,,Accelerator,Y Combinator,Ireland,2021.0,Seed,,,Active
Crew,B2B,RECRUITING AND TALENT,,RECRUITING AND TALENT,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Hirebolt,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Abatable,INDUSTRIALS,CLIMATE,,CLIMATE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Sensible Biotechnologies,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Orderli,B2B,,,,2021.0,,,Accelerator,Y Combinator,Netherlands,2021.0,Seed,,,Active
Shape,B2B,ANALYTICS,,ANALYTICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Tuli Health,HEALTHCARE,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Vibe Kanban,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Female Invest,FINTECH,,,,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
Tenyks,B2B,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Noloco,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Ireland,2021.0,Seed,,,Active
Meticulous,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Adaptyv,HEALTHCARE,DRUG DISCOVERY AND DELIVERY,,DRUG DISCOVERY AND DELIVERY,2021.0,,,Accelerator,Y Combinator,Switzerland,2021.0,Seed,,,Active
HeyCharge,INDUSTRIALS,ENERGY,,ENERGY,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Whaly,B2B,ANALYTICS,,ANALYTICS,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Digistain,HEALTHCARE,DIAGNOSTICS,,DIAGNOSTICS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
