Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Bioscibex,HEALTHCARE,Pharma,B2B,"AI, AR/VR",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Corintis,Unknown,,Unknown,,2025,24.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Soverli,Unknown,,Unknown,AR/VR,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Iron,CLEANTECH,Energy,Unknown,Cleantech,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Top100,Unknown,,Unknown,AR/VR,2025,,Venture Kick Grant,Pre-Seed,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Lemna,Unknown,,Unknown,Biotech,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
PeriVision,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,2.4M CHF,Undisclosed,Series A,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Series,AEROSPACE,,Unknown,,2025,10.0M USD,Series A,Series A,,Switzerland,,,,,
Inkocell,HEALTHCARE,Biotech,Unknown,Biotech,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
ETH,Unknown,,Unknown,AR/VR,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CompPair,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CO2,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Rhovica,MOBILITY,Electric Vehicles,Unknown,,2025,2.3M CHF,Funding Round,Series A,,Switzerland,,,,,
Baxiva,Unknown,,Unknown,,2025,3.0M USD,Undisclosed,Series B,,Switzerland,,,,,
AIdriven,SOFTWARE,,Unknown,"AI, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
InkVivo,SOFTWARE,SaaS,B2B,"SaaS, Biotech",2025,1.1M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Inside,Unknown,,Unknown,,2025,1.0B USD,Undisclosed,Growth,,Switzerland,,,,,
Reshape,AI/ML,AI/ML,Unknown,AI,2025,800.0K CHF,Undisclosed,Series A,,Switzerland,,,,,
Imaging,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
ASTRA,HEALTHCARE,Pharma,Unknown,"AI, Biotech, Healthtech, AR/VR",2025,7.75M CHF,Undisclosed,Series B,,Switzerland,,,,,
LiDAR,SOFTWARE,SaaS,B2B,"AI, SaaS, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Jaipur,AI/ML,AI/ML,Unknown,"AI, Cleantech, Robotics",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Medyria,MOBILITY,Electric Vehicles,Unknown,,2025,1.5M CHF,Undisclosed,Series A,,Switzerland,,,,,
Scanvio,AI/ML,AI/ML,Unknown,AI,2025,3.4M USD,Undisclosed,Series B,,Switzerland,,,,,
AzureCell,MOBILITY,Electric Vehicles,Unknown,AR/VR,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Grensol,Unknown,,Unknown,AR/VR,2025,1.8M CHF,Undisclosed,Series A,,Switzerland,,,,,
CREAL,Unknown,,Unknown,AR/VR,2025,8.9M USD,Funding Round,Series B,,Switzerland,,,,,
Swiss,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,2.26M CHF,Undisclosed,Series A,,Switzerland,,,,,
Comphya,Unknown,,Unknown,,2025,7.5M CHF,Series A,Series A,,Switzerland,,,,,
Nautica,CLEANTECH,,Unknown,"Cleantech, Robotics",2025,4.0M USD,Undisclosed,Series B,,Switzerland,,,,,
Climeworks,Unknown,,Unknown,,2025,1.0B USD,Funding Round,Growth,,Switzerland,,,,,
Beekeeper,SOFTWARE,SaaS,B2B,SaaS,2025,1.0B USD,Undisclosed,Growth,,Switzerland,,,,,
Migros,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Adiposs,AI/ML,AI/ML,Unknown,AI,2025,4.0M CHF,Undisclosed,Series B,,Switzerland,,,,,
RTDT,SOFTWARE,SaaS,B2B,"SaaS, Cleantech",2025,4.0M USD,Pre-Seed,Pre-Seed,,Switzerland,,,,,
AIPowered,FINTECH,Insurance,B2B,"AI, SaaS, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Glioblastoma,Unknown,,Unknown,AR/VR,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Shootify,AI/ML,AI/ML,B2C,AI,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
KYLYS,HEALTHCARE,MedTech,Unknown,Healthtech,2025,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
Fuels,AI/ML,AI/ML,Unknown,AI,2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Myriad,Unknown,,Unknown,,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Voliro,Unknown,,Unknown,,2025,23.0M USD,Series A,Series A,,Switzerland,,,,,
Odne,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Composite,Unknown,,Unknown,AR/VR,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Positrigo,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,7.0M CHF,Undisclosed,Series B,,Switzerland,,,,,
Sefit,HEALTHCARE,,Unknown,"IoT, Healthtech",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
ZuriEV,AI/ML,AI/ML,Unknown,AI,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Inverto,CLEANTECH,Climate Tech,Unknown,"Cleantech, AR/VR",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
AIpowered,AI/ML,AI/ML,B2B,"AI, Robotics",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIbased,AI/ML,AI/ML,Unknown,"AI, Biotech",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Versive,AI/ML,AI/ML,Unknown,AI,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
