Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Publication_Date,Article_Text,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Neology,Unknown,,Unknown,BioTech,15.10.2025,Neology Hydrogen secures CHF 2.5 million to accelerate ammonia power generator rollout,2025,2.5M CHF,Undisclosed,Series A,Accel,Switzerland,,,,,
HemostOD,SOFTWARE,SaaS,B2B,Manufacturing,07.10.2025,HemostOD raises CHF 4.3 million to advance platelet manufacturing platform,2025,4.3M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,06.10.2025,Behind the Jury: Perspectives from Venture Kick Jury Member Jim Pulcrano,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
FenX,AI/ML,AI/ML,B2B,,02.10.2025,FenX raises CHF 8.2 million to advance sustainable mineral foam insulation,2025,8.2M CHF,Undisclosed,Series B,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,01.10.2025,Behind the Jury: Perspectives from Venture Kick Jury Member Dr. Bettina Ernst,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Germany,CLEANTECH,Industrial Robotics,B2B,Robotics,01.10.2025,viboo secures EUR 3.3 million funding to expand energy-efficient building automation in Germany,2025,3.3M EUR,Funding Round,Series B,,Switzerland,,,,,
Bioscibex,HEALTHCARE,RegTech,B2B,Manufacturing,29.09.2025,"Bioscibex secures CHF 150,000 from Venture Kick to streamline biopharma manufacturing",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Corintis,Unknown,,Unknown,Semiconductors,26.09.2025,Corintis secures USD 24M to advance chip-cooling technology,2025,24.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Soverli,AI/ML,AI/ML,B2B,Cybersecurity,24.09.2025,"Soverli has received CHF 150,000 from Venture Kick to drive digital sovereignty by reshaping smartphone security",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Iron,AI/ML,AI/ML,B2B,BioTech,19.09.2025,"Iron Energy secures CHF 150,000 from Venture Kick to build next-generation hydrogen storage with iron-based technology",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Top100,AI/ML,AI/ML,B2B,,17.09.2025,66 alumni from Venture Kick among the Top100 Swiss Startups in 2025,2025,,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,17.09.2025,Behind the Jury: Perspectives from Venture Kick Jury Member Christer Bergstroem,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Lemna,AI/ML,Drug Discovery,B2B,Web3,15.09.2025,"Lemna Bio has received CHF 150,000 from Venture Kick to redefine drug discovery",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
PeriVision,AI/ML,AI/ML,B2B,,12.09.2025,PeriVision raises CHF 2.4M to advance AI- and VR-based eye testing,2025,2.4M CHF,Undisclosed,Series A,,Switzerland,,,,,
Behind,AI/ML,AI/ML,B2B,,08.09.2025,Behind the Jury: Perspectives from the Venture Kick Jury Member David Kurmann,2025,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Flybotix,AEROSPACE,Drones,Unknown,"Venture Capital, SpaceTech, Robotics",08.09.2025,USD 10M Series A extension expands Flybotix confined-space drone tech,2025,10.0M USD,Series A,Series A,,Switzerland,,,,,
Inkocell,HEALTHCARE,Drug Discovery,Unknown,BioTech,08.09.2025,"Inkocell Therapeutics secures CHF 150,000 from Venture Kick to advance next-generation Natural Killer (NK) cell therapies",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
ETH,Unknown,,Unknown,,03.09.2025,ETH spin-off OBaris acquired by Johnson & Johnson,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
